DataYear	BuildingType	PrimaryPropertyType	YearBuilt	NumberofBuildings	NumberofFloors	PropertyGFATotal	PropertyGFAParking	PropertyGFABuilding(s)	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseType	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEUI(kBtu/sf)	SiteEUIWN(kBtu/sf)	SourceEUI(kBtu/sf)	SourceEUIWN(kBtu/sf)	SiteEnergyUse(kBtu)	SiteEnergyUseWN(kBtu)	SteamUse(kBtu)	Electricity(kBtu)	NaturalGas(kBtu)	DefaultData	ComplianceStatus	Latitude	Longitude	GHGEmissionsIntensity	TotalGHGEmissions	GFA	Age	SiteEnergyUse(kBtu)_log2p	TotalGHGEmissions_log2
2015	NonResidential	Lodging	1997	6.0	6.0	116300	28200	88100	Lodging	88490.0	Other	28300.0	noInfo	0.0	84.0	68.0	69.7	147.8	150.3	6014078.0	6169676.0	0.0	3238067.0	2776145.0	No	Compliant	47.62021696	-122.3432115	1.34	170.01	3230.555555555555	18	22.519912388376707	7.409475798055957
2015	NonResidential	Lodging	1998	6.0	6.0	155602	36744	118858	Lodging	155602.0	noInfo	0.0	noInfo	0.0	81.0	44.4	44.1	108.0	106.8	6915293.0	6855303.0	0.0	4566435.0	2349046.0	No	Compliant	47.62050588	-122.3596901	0.88	156.59	4322.277777777778	17	22.721359157406464	7.290848273341998
2015	NonResidential	Education	1911	3.0	3.0	56072	0	56072	Education	56072.0	noInfo	0.0	noInfo	0.0	77.0	55.4	72.3	78.7	98.6	3106930.0	4055974.0	0.0	550355.0	2556597.0	No	Compliant	47.63445532	-122.3080163	2.45	139.62	6230.222222222223	104	21.567058771175564	7.12536180635178
2015	NonResidential	Lodging	1999	4.0	4.0	122942	44891	78051	Lodging	78051.0	Other	44891.0	noInfo	0.0	94.0	67.6	68.0	135.3	136.5	5276777.0	5306165.0	0.0	2400660.0	2876216.0	No	Compliant	47.62498256	-122.3445605	1.29	169.49	7683.875	16	22.331225858324938	7.405056345873811
2015	NonResidential	Office	1962	2.0	2.0	54984	0	54984	Office	54984.0	noInfo	0.0	noInfo	0.0	65.0	63.7	71.3	149.8	157.8	3504957.0	3921971.0	0.0	2181293.0	1323754.0	No	Compliant	47.60841187	-122.3095441	1.38	85.51	13746.0	53	21.740965725812636	6.418021241281142
2015	NonResidential	Lodging	1922	5.0	5.0	217603	0	217603	Lodging	296313.0	Other	0.0	noInfo	0.0	50.0	153.5	170.9	246.4	264.6	45494324.0	50629892.0	0.0	12080722.0	33414103.0	No	Compliant	47.55837362	-122.378518	8.3	1858.84	8704.119999999999	93	25.439183257765052	10.860186880018633
2015	NonResidential	Lodging	1970	2.0	2.0	93397	0	93397	Lodging	93397.0	noInfo	0.0	noInfo	0.0	1.0	175.3	180.8	313.8	320.7	16371764.0	16886622.0	0.0	5797976.0	10574028.0	No	Compliant	47.72389349	-122.3562998	6.18	602.0	23349.25	45	23.96470652783692	9.233619676759702
2015	NonResidential	Lodging	2008	6.0	6.0	84103	20732	63371	Lodging	63371.0	Other	20732.0	noInfo	0.0	68.0	62.8	63.8	164.1	164.0	3979132.0	4045411.0	0.0	2975816.0	1003439.0	No	Compliant	47.61990903	-122.3320457	0.73	74.04	2336.1944444444443	7	21.92402269032961	6.210232990095849
2015	NonResidential	Healthcare	1965	3.0	3.0	179014	0	179014	Healthcare	179014.0	noInfo	0.0	noInfo	0.0	48.0	105.4	110.9	221.6	224.0	18868768.0	19858448.0	0.0	9501003.0	9368159.0	No	Compliant	47.61249662	-122.3213373	2.92	563.78	19890.444444444445	50	24.169496968680054	9.138988489228634
2015	NonResidential	Lodging	1908	7.0	7.0	76631	0	76631	Lodging	76631.0	noInfo	0.0	noInfo	0.0	24.0	94.4	93.9	175.0	173.4	7231928.0	7192445.0	0.0	2784090.0	4447953.0	Yes	Compliant	47.60895788	-122.3268374	3.18	255.64	1563.8979591836735	107	22.7859490833811	7.997969782267101
2015	NonResidential	Retail	1929	2.0	2.0	58320	0	58320	Retail	72072.0	noInfo	0.0	noInfo	0.0	95.0	14.9	19.2	26.6	31.5	1074180.0	1383366.0	0.0	376328.0	697867.0	No	Compliant	47.622375	-122.33805	0.65	39.69	14580.0	86	20.03480567791853	5.310703657225108
2015	NonResidential	Office	2010	5.0	5.0	316306	0	316306	Office	261826.0	Other	150726.0	Other	15139.0	96.0	46.3	46.7	139.3	139.8	13300859.0	13429220.0	0.0	12471183.0	830194.0	No	Compliant	47.62428336	-122.33589247	0.24	131.03	12652.24	5	23.66501619396984	7.03375335188982
2015	NonResidential	Lodging	1990	7.0	7.0	282863	44766	238097	Lodging	235788.0	Other	51537.0	noInfo	0.0	40.0	79.9	85.3	178.1	186.6	18829136.0	20123722.0	0.0	10638785.0	8190794.0	No	Compliant	47.6263594	-122.333131	1.64	509.18	5772.714285714285	25	24.16646354231811	8.992031942738496
2015	NonResidential	Office	2010	12.0	12.0	571329	0	571329	Office	598801.0	Other	310699.0	Other	26203.0	89.0	66.8	66.7	184.6	184.3	41734776.0	41683652.0	0.0	34236747.0	7499452.0	No	Compliant	47.62099765	-122.33592466	0.86	636.96	3967.5625	5	25.314746726432233	9.315058966316625
2015	NonResidential	Office	2010	6.0	6.0	920598	303707	616891	Office	729584.0	Other	185014.0	Other	6000.0	93.0	49.9	52.8	133.3	133.0	36681188.0	38835684.0	0.0	28483019.0	8199352.0	No	Compliant	47.62334946	-122.344706	0.56	634.03	25572.166666666668	5	25.128537068046413	9.30840729485118
2015	NonResidential	Office	1970	4.0	4.0	76213	25930	50283	Office	48546.0	Other	21454.0	Other	2406.0	72.0	64.8	66.8	183.3	189.4	3303553.0	3402840.0	0.0	2809470.0	494199.0	No	Compliant	47.62038448	-122.3584269	0.44	45.83	4763.3125	45	21.65558749657167	5.518220380599588
2015	NonResidential	Lodging	2002	6.0	6.0	117738	36934	80804	Lodging	59976.0	Other	36934.0	noInfo	0.0	52.0	84.4	87.5	186.9	196.8	5061274.0	5249742.0	0.0	2820414.0	2240976.0	No	Compliant	47.62294488	-122.3571048	1.07	138.68	3270.5	13	22.27106943338781	7.115615931428109
2015	NonResidential	Lodging	1962	4.0	4.0	50017	0	50017	Lodging	50017.0	Entertainment	0.0	noInfo	0.0	51.0	111.4	114.3	207.1	210.0	5570472.0	5717357.0	0.0	2156751.0	3413811.0	No	Compliant	47.65774638	-122.3175345	3.74	196.34	3126.0625	53	22.409368404211165	7.617210310224668
2015	NonResidential	Education	1923	3.0	3.0	67743	0	67743	Education	67743.0	noInfo	0.0	noInfo	0.0	43.0	34.0	35.2	74.7	78.6	2303288.0	2385958.0	0.0	1265357.0	1037984.0	No	Compliant	47.6262348	-122.3081985	0.86	63.95	7527.0	92	21.135264010723493	5.998872453994275
2015	NonResidential	Education	1908	6.0	6.0	194104	0	194104	Education	194104.0	noInfo	0.0	noInfo	0.0	100.0	30.3	38.8	51.2	61.5	5889882.0	7540875.0	0.0	1795343.0	4094613.0	No	Compliant	47.62595722	-122.304164	1.15	229.98	5391.777777777778	107	22.489807545146242	7.845364593746949
2015	NonResidential	Office	2003	3.0	3.0	99433	35752	63681	Office	63681.0	Other	35752.0	noInfo	0.0	71.0	69.7	72.9	218.9	228.8	4439034.0	4640342.0	0.0	4439217.0	0.0	No	Compliant	47.58406769	-122.3012707	0.12	30.95	11048.111111111111	12	22.081814653100352	4.951867504326902
